query_name,query,description
Memory Kernel Stack,"node_memory_KernelStack_bytes{instance=$}/(1024*1024)", kernel memory stack not reclaimable
Memory PerCPU Bytes,"node_memory_Percpu_bytes{instance=$}/(1024*1024)", Per CPU memory allocated dynamically by loadable modules
Memory Huge Page total,"node_memory_HugePages_Total{instance=$}",Total Size of the pool of huge pages
Memory Huge Page Size,"node_memory_Hugepagesize_bytes{instance=$}/(1024*1024)", Huge Page Size
Memory mapped as 1G,"node_memory_DirectMap1G_bytes{instance=$}/(1024*1024)", Amount of memory mapped as this size
Memory Mapped as 1M,"node_memory_DirectMap2M_bytes{instance=$}/(1024*1024)", Amount of memory mapped as this size
Memory Mapped as 4K,"node_memory_DirectMap4k_bytes{instance=$}/(1024*1024)", Amount of memory mapped as this size
Memory NFS Unstable,"node_memory_NFS_Unstable_bytes{instance=$}/(1024*1024)", Memory in NFS Pages sent to the server but note yet commited to the storage
Memory Pages in operations,"irate(node_vmstat_pgpgin{instance=$}[#])", page in operations memory
Memory Pages out operations,"irate(node_vmstat_pgpgout{instance=$}[#])", page out operations memory
Memory Pages SWapped in,"irate(node_vmstat_pswpin{instance=$}[#])", memory pages swapped in
Memory Pages Swapped out,"irate(node_vmstat_pswpout{instance=$}[#])", memory pages swapped out
Memory Page faults,"irate(node_vmstat_pgfault{instance=$}[#])", memory page fault operations minor and major
Memory vmstat OOM Killer,"irate(node_vmstat_oom_kill{instance=$}[#])", vmstat oom killer
Time Offset,"node_timex_offset_seconds{instance=$}", Time offset between local system and reference clock time syncronized drift
Time Maximum Error in seconds,"node_timex_maxerror_seconds{instance=$}", Time syncronized drift maximum errror in secs
Time PPL Adjust,"node_timex_loop_time_constant{instance=$}", Time PPL Adjust
Processes Blocked,"node_procs_blocked{instance=$}", Processes Blocked Waiting for I/O to complete
Processes in Runnable State,"node_procs_running{instance=$}", Processes in Runable State
CPU Running Process Secs,"irate(node_schedstat_running_seconds_total{instance=$}[#])", cpu seconds spent running a process[make it per cpu#]
CPU Waiting secs.,"irate(node_schedstat_waiting_seconds_total{instance=$}[#])",seconds spent by processing waiting for this cpu[make it per cpu#]
Context Switches,"irate(node_context_switches_total{instance=$}[#])", Context Switches
Context Interrupts,"irate(node_intr_total{instance=$}[#])", Context INterrrupts
System Load 1m,"node_load1{instance=$}", system load one minute
System Load 5m,"node_load5{instance=$}", system load five minute
System Load 15m,"node_load15{instance=$}", system load fifteen minute
Schdeule Timeslices executed by each CPU,"irate(node_schedstat_timeslices_total{instance=$}[#])",Schdeule Timeslices executed by each CPU[make it per cpu#]
Entropy,"node_entropy_available_bits{instance=$}", entropy availbale to random number generators
CPU time spent on process,"irate(process_cpu_seconds_total{instance=$}[#])", cpu time spent in user and system contents
Read Wait Time Avg,"irate(node_disk_read_time_seconds_total{instance=$}[#]) / irate(node_disk_reads_completed_total{instance=$}[#])", Disk Averate Wait Time Read
Write Wait Time Avg,"irate(node_disk_write_time_seconds_total{instance=$}[#]) / irate(node_disk_writes_completed_total{instance=$}[#])", Disk Averate Wait Time Write
Average Queue Size,"irate(node_disk_io_time_weighted_seconds_total{instance=$}[#])",Average Queue Size
Time Spent Doing I/O discard,"irate(node_disk_discard_time_seconds_total{instance=$}[#])",Time spent doing i/o discard time total rated
Packets Received device ens3,"irate(node_network_receive_packets_total{instance=$,device=%22ens3%22}[#])",Network Traffic By Packets Received Packets total number of ens3
Packets Received device lo,"irate(node_network_receive_packets_total{instance=$,device=%22lo%22}[#])", Network Traffic By Packets Received Packets total number of lo
Packets Transmitted ens3,"irate(node_network_transmit_packets_total{instance=$,device=%22ens3%22}[#])",Network Traffic By Packets Transmitted total number of ens3
Packets Transmitted lo,"irate(node_network_transmit_packets_total{instance=$,device=%22lo%22}[#])",Network Traffic By Packets Transmitted total number of lo
Received Errors Total,"sum by(instance)(irate(node_network_receive_errs_total{instance=$}[#]))", total received errors
Transmitted Errors Total,"sum by(instance)(irate(node_network_transmit_errs_total{instance=$}[#]))", total transmitted errors
Softnet Packets Processed,"sum by(instance)(irate(node_softnet_processed_total{instance=$}[#]))",total softnet processed packets rated
Softnet Packets Dropped,"sum by(instance)(irate(node_softnet_dropped_total{instance=$}[#]))", total softnet dropped packets rated
